timestamp,value
us-ct 2018-01-31T02:45:00Z,23.8
us-ct 2018-01-31T02:46:00Z,22.82
us-ct 2018-01-31T02:47:00Z,30.5
us-ct 2018-01-31T02:48:00Z,23.7
us-ct 2018-01-31T02:49:00Z,21.45
us-ct 2018-01-31T02:50:00Z,23.84
us-ct 2018-01-31T02:51:00Z,19.41
us-ct 2018-01-31T02:52:00Z,16.87
us-ct 2018-01-31T02:53:00Z,18.94
us-ct 2018-01-31T02:54:00Z,17.97
us-ct 2018-01-31T02:55:00Z,25.12
us-ct 2018-01-31T02:56:00Z,19.92
us-ct 2018-01-31T02:57:00Z,39.94
us-ct 2018-01-31T02:58:00Z,34.27
us-ct 2018-01-31T02:59:00Z,39.81
us-ct 2018-01-31T03:00:00Z,28.75
us-ct 2018-01-31T03:01:00Z,22.93
us-ct 2018-01-31T03:02:00Z,27.68
us-ct 2018-01-31T03:03:00Z,26.2
us-ct 2018-01-31T03:04:00Z,21.68
us-ct 2018-01-31T03:05:00Z,21.75
us-ct 2018-01-31T03:06:00Z,16.65
us-ct 2018-01-31T03:07:00Z,25.91
us-ct 2018-01-31T03:08:00Z,27.89
us-ct 2018-01-31T03:09:00Z,21.64
us-ct 2018-01-31T03:10:00Z,22.69
us-ct 2018-01-31T03:11:00Z,24.85
us-ct 2018-01-31T03:12:00Z,22.53
us-ct 2018-01-31T03:13:00Z,27.21
us-ct 2018-01-31T03:14:00Z,24.58
us-ct 2018-01-31T03:15:00Z,19.87
us-ct 2018-01-31T03:16:00Z,22.16
us-ct 2018-01-31T03:17:00Z,16.09
us-ct 2018-01-31T03:18:00Z,20.45
us-ct 2018-01-31T03:19:00Z,24.39
us-ct 2018-01-31T03:20:00Z,21.23
us-ct 2018-01-31T03:21:00Z,21.5
us-ct 2018-01-31T03:22:00Z,25.58
us-ct 2018-01-31T03:23:00Z,16.75
us-ct 2018-01-31T03:24:00Z,20.26
us-ct 2018-01-31T03:25:00Z,16.98
us-ct 2018-01-31T03:26:00Z,27.67
us-ct 2018-01-31T03:27:00Z,28.21
us-ct 2018-01-31T03:28:00Z,28.44
us-ct 2018-01-31T03:29:00Z,33.99
us-ct 2018-01-31T03:30:00Z,27.49
us-de 2018-01-31T02:10:00Z,28.45
us-de 2018-01-31T02:11:00Z,13.28
us-de 2018-01-31T02:12:00Z,31.38
us-de 2018-01-31T02:13:00Z,25.72
us-de 2018-01-31T02:14:00Z,26.43
us-de 2018-01-31T02:15:00Z,29.24
us-de 2018-01-31T02:16:00Z,15.51
us-de 2018-01-31T02:17:00Z,21.92
us-de 2018-01-31T02:18:00Z,25.63
us-de 2018-01-31T02:19:00Z,20.08
us-de 2018-01-31T02:20:00Z,29.91
us-de 2018-01-31T02:21:00Z,13.7
us-de 2018-01-31T02:22:00Z,26.77
us-de 2018-01-31T02:23:00Z,16.2
us-de 2018-01-31T02:24:00Z,20.15
us-de 2018-01-31T02:25:00Z,15.04
us-de 2018-01-31T02:26:00Z,5.19
us-de 2018-01-31T02:27:00Z,15.2
us-de 2018-01-31T02:28:00Z,15.63
us-de 2018-01-31T02:29:00Z,23.69
us-de 2018-01-31T02:30:00Z,13.67
us-de 2018-01-31T02:31:00Z,16.08
us-de 2018-01-31T02:32:00Z,26.77
us-de 2018-01-31T02:33:00Z,11.65
us-de 2018-01-31T02:34:00Z,19.65
us-de 2018-01-31T02:35:00Z,22.19
